iter	Passed	Remaining
0	0	40
1	0	37
2	1	35
3	1	33
4	1	32
5	2	34
6	2	34
7	2	34
8	3	34
9	3	33
10	4	32
11	4	32
12	4	31
13	5	31
14	5	30
15	5	29
16	5	29
17	6	28
18	6	28
19	7	28
20	7	28
21	7	27
22	8	27
23	8	27
24	9	27
25	9	26
26	9	26
27	10	26
28	10	26
29	11	26
30	11	25
31	11	25
32	12	25
33	13	25
34	13	25
35	14	24
36	14	24
37	15	24
38	15	24
39	16	24
40	16	23
41	16	23
42	17	22
43	17	22
44	18	22
45	18	22
46	19	21
47	19	21
48	20	20
49	20	20
50	20	19
51	21	19
52	21	19
53	22	18
54	22	18
55	22	17
56	23	17
57	23	17
58	24	16
59	24	16
60	24	15
61	25	15
62	25	15
63	26	14
64	26	14
65	27	13
66	27	13
67	27	13
68	28	12
69	28	12
70	29	11
71	29	11
72	29	11
73	30	10
74	30	10
75	31	9
76	31	9
77	32	9
78	32	8
79	33	8
80	33	7
81	34	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	4
88	37	4
89	37	4
90	38	3
91	38	3
92	39	2
93	39	2
94	39	2
95	40	1
96	40	1
97	41	0
98	41	0
99	42	0
