iter	Passed	Remaining
0	59	59329
1	59	29856
2	60	20103
3	61	15269
4	61	12300
5	62	10326
6	62	8919
7	63	7850
8	63	7006
9	64	6343
10	64	5796
11	64	5338
12	65	4951
13	65	4619
14	66	4335
15	66	4088
16	66	3865
17	67	3667
18	67	3494
19	68	3339
20	68	3192
21	68	3058
22	69	2936
23	69	2829
24	70	2732
25	70	2637
26	70	2552
27	71	2474
28	71	2403
29	72	2338
30	72	2276
31	73	2222
32	74	2178
33	74	2123
34	75	2073
35	75	2029
36	76	1985
37	76	1939
38	77	1901
39	77	1865
40	78	1829
41	78	1797
42	79	1762
43	79	1729
44	80	1698
45	80	1672
46	81	1647
47	81	1621
48	82	1599
49	83	1578
50	83	1554
51	83	1528
52	84	1508
53	84	1487
54	85	1464
55	85	1441
56	85	1422
57	86	1405
58	86	1387
59	87	1370
60	87	1354
61	88	1337
62	89	1324
63	89	1308
64	89	1292
65	90	1279
66	90	1262
67	91	1249
68	91	1238
69	92	1226
70	92	1212
71	93	1200
72	93	1188
73	94	1176
74	94	1164
75	94	1153
76	95	1141
77	95	1130
78	96	1120
79	96	1110
80	97	1101
81	97	1092
82	97	1079
83	98	1069
84	98	1061
85	99	1053
86	99	1045
87	100	1038
88	100	1030
89	101	1022
90	101	1015
91	102	1008
92	102	1000
93	102	992
94	103	986
95	104	979
96	104	972
97	104	964
98	105	961
99	106	954
100	106	947
101	106	941
102	107	936
103	108	930
104	108	925
105	109	919
106	109	913
107	109	906
108	110	901
109	110	896
110	111	890
111	111	885
112	112	879
113	112	875
114	113	869
115	113	865
116	113	858
117	114	854
118	114	850
119	115	845
120	115	841
121	116	835
122	116	830
123	116	825
124	117	821
125	117	817
126	118	813
127	118	808
128	119	805
129	119	801
130	120	796
131	120	792
132	120	788
133	121	785
134	122	782
135	122	779
136	123	775
137	123	772
138	124	768
139	124	765
140	125	761
141	125	756
142	125	752
143	125	748
144	126	746
145	127	743
146	127	739
147	128	737
148	128	735
149	129	732
150	129	729
151	130	726
152	130	723
153	131	720
154	131	717
155	131	713
156	132	710
157	132	707
158	133	705
159	133	702
160	134	698
161	134	695
162	134	692
163	135	690
164	135	687
165	136	684
166	136	682
167	137	679
168	137	677
169	138	675
170	138	673
171	139	671
172	139	669
173	140	666
174	140	663
175	141	661
176	141	658
177	142	655
178	142	653
179	142	650
180	143	648
181	143	645
182	144	643
183	144	641
184	145	640
185	145	637
186	146	635
187	146	633
188	147	631
189	147	628
190	148	627
191	148	625
192	148	622
193	149	620
194	149	618
195	150	616
196	150	615
197	151	613
198	151	610
199	152	608
200	152	606
201	152	603
202	153	601
203	153	600
204	154	598
205	155	597
206	155	596
207	156	594
208	156	592
209	156	590
210	157	588
211	157	586
212	158	585
213	158	583
214	159	581
215	159	578
216	160	577
217	160	576
218	161	575
219	162	574
220	162	572
221	162	571
222	163	568
223	163	567
224	164	565
225	164	563
226	164	561
227	165	559
228	165	557
229	166	556
230	166	554
231	166	552
232	167	550
233	167	548
234	168	547
235	168	546
236	169	545
237	169	544
238	170	542
239	170	541
240	171	540
241	172	539
242	172	537
243	173	536
244	173	534
245	174	534
246	174	533
247	175	533
248	176	532
249	176	530
250	177	529
251	178	529
252	178	528
253	179	526
254	179	525
255	180	524
256	181	523
257	181	522
258	182	520
259	182	519
260	182	517
261	183	517
262	184	516
263	184	515
264	185	514
265	185	513
266	186	511
267	186	510
268	187	509
269	187	507
270	188	506
271	188	504
272	189	503
273	189	502
274	190	501
275	190	500
276	191	499
277	191	498
278	192	497
279	192	495
280	193	494
281	193	493
282	194	492
283	194	491
284	195	490
285	195	489
286	196	487
287	196	486
288	197	486
289	198	485
290	198	484
291	199	483
292	200	482
293	200	481
294	200	480
295	201	478
296	201	477
297	201	475
298	202	474
299	202	473
300	203	472
301	203	471
302	204	470
303	205	469
304	205	468
305	206	467
306	206	466
307	207	465
308	207	464
309	208	463
310	208	462
311	209	461
312	209	460
313	210	458
314	210	457
315	210	456
316	211	455
317	211	454
318	212	453
319	212	452
320	213	452
321	214	450
322	214	449
323	215	448
324	215	448
325	216	447
326	216	446
327	217	445
328	217	444
329	218	443
330	218	442
331	219	440
332	219	440
333	220	438
334	220	437
335	220	436
336	221	435
337	222	435
338	222	434
339	223	433
340	223	432
341	224	431
342	224	430
343	225	429
344	225	428
345	226	427
346	226	426
347	227	426
348	227	425
349	228	423
350	228	423
351	229	422
352	230	421
353	230	420
354	230	419
355	231	418
356	231	417
357	232	416
358	232	415
359	233	414
360	233	413
361	234	413
362	234	412
363	235	411
364	235	410
365	236	409
366	237	409
367	237	408
368	238	407
369	238	406
370	239	405
371	239	404
372	240	403
373	240	402
374	241	401
375	241	400
376	242	400
377	242	399
378	243	398
379	243	397
380	244	396
381	244	395
382	245	394
383	245	394
384	246	393
385	246	392
386	247	391
387	247	390
388	248	389
389	248	388
390	249	387
391	249	387
392	250	386
393	250	385
394	251	385
395	252	384
396	253	385
397	254	384
398	254	383
399	255	382
400	255	381
401	256	380
402	256	380
403	256	379
404	257	378
405	257	377
406	258	376
407	259	375
408	259	375
409	260	374
410	260	373
411	261	373
412	261	372
413	262	371
414	262	370
415	263	369
416	263	368
417	264	368
418	264	367
419	265	366
420	265	365
421	266	364
422	266	363
423	267	362
424	267	361
425	268	361
426	268	360
427	268	359
428	270	359
429	270	358
430	270	357
431	271	356
432	271	356
433	272	355
434	272	354
435	273	353
436	273	352
437	274	351
438	274	350
439	275	350
440	275	349
441	276	348
442	276	347
443	277	347
444	277	346
445	278	345
446	278	344
447	279	343
448	280	343
449	280	342
450	280	341
451	281	340
452	281	339
453	281	338
454	282	337
455	282	336
456	282	336
457	283	335
458	283	334
459	284	333
460	284	333
461	285	332
462	285	331
463	286	331
464	287	330
465	287	329
466	287	328
467	288	327
468	288	327
469	289	326
470	289	325
471	290	324
472	290	324
473	291	323
474	291	322
475	292	321
476	292	320
477	293	320
478	293	319
479	294	319
480	294	318
481	295	317
482	296	316
483	296	316
484	297	315
485	297	314
486	298	314
487	298	313
488	299	312
489	299	311
490	299	310
491	300	310
492	300	309
493	301	308
494	301	307
495	302	306
496	302	306
497	303	305
498	303	304
499	304	304
500	306	305
501	307	305
502	308	304
503	308	304
504	309	303
505	310	303
506	312	303
507	312	303
508	313	302
509	314	301
510	314	301
511	315	300
512	316	300
513	317	299
514	318	299
515	318	298
516	319	298
517	319	297
518	320	296
519	320	296
520	321	295
521	321	294
522	322	294
523	322	293
524	323	292
525	323	291
526	324	290
527	325	290
528	325	289
529	326	289
530	327	288
531	327	288
532	327	287
533	328	286
534	328	285
535	329	285
536	329	284
537	330	283
538	330	282
539	331	282
540	331	281
541	332	280
542	332	279
543	333	279
544	333	278
545	334	277
546	335	277
547	335	276
548	336	276
549	336	275
550	336	274
551	337	273
552	337	273
553	338	272
554	338	271
555	339	270
556	339	270
557	340	269
558	341	269
559	342	268
560	342	268
561	343	267
562	343	266
563	344	265
564	345	266
565	346	265
566	347	265
567	347	264
568	349	264
569	349	263
570	350	262
571	350	262
572	351	261
573	352	261
574	352	260
575	353	260
576	353	259
577	354	258
578	355	258
579	355	257
580	356	257
581	358	257
582	359	256
583	359	256
584	360	255
585	360	255
586	361	254
587	362	253
588	362	253
589	363	252
590	364	252
591	364	251
592	365	250
593	377	257
594	378	257
595	378	256
596	379	256
597	380	255
598	381	255
599	382	254
600	382	254
601	383	253
602	383	252
603	384	252
604	385	251
605	385	250
606	386	249
607	386	249
608	387	248
609	388	248
610	388	247
611	389	246
612	389	246
613	390	245
614	390	244
615	391	244
616	391	243
617	392	242
618	392	241
619	393	241
620	394	240
621	394	239
622	395	239
623	395	238
624	396	237
625	397	237
626	397	236
627	398	235
628	399	235
629	399	234
630	400	234
631	400	233
632	401	232
633	401	231
634	401	230
635	402	230
636	404	230
637	404	229
638	405	229
639	406	228
640	406	227
641	406	226
642	407	226
643	407	225
644	408	224
645	409	224
646	410	223
647	411	223
648	411	222
649	412	222
650	413	221
651	414	221
652	415	220
653	415	219
654	416	219
655	417	218
656	417	218
657	418	217
658	418	216
659	419	216
660	419	215
661	419	214
662	420	213
663	424	214
664	424	213
665	425	213
666	425	212
667	426	211
668	426	211
669	427	210
670	427	209
671	428	209
672	436	211
673	436	211
674	437	210
675	446	213
676	447	213
677	450	214
678	451	213
679	452	213
680	453	212
681	456	212
682	457	212
683	473	218
684	474	218
685	483	221
686	485	220
687	486	220
688	486	219
689	487	218
690	487	218
691	488	217
692	488	216
693	488	215
694	489	214
695	489	213
696	490	213
697	491	212
698	491	211
699	492	211
700	493	210
701	493	209
702	494	208
703	494	208
704	495	207
705	496	206
706	496	205
707	497	205
708	498	204
709	498	203
710	498	202
711	499	201
712	499	201
713	499	200
714	500	199
715	500	198
716	500	197
717	501	196
718	501	196
719	502	195
720	502	194
721	503	193
722	503	192
723	504	192
724	504	191
725	505	190
726	505	189
727	506	189
728	506	188
729	507	187
730	507	186
731	508	186
732	508	185
733	509	184
734	509	183
735	509	182
736	510	182
737	511	181
738	511	180
739	511	179
740	512	179
741	513	178
742	513	177
743	514	177
744	515	176
745	516	175
746	516	175
747	517	174
748	518	173
749	518	172
750	519	172
751	520	171
752	521	170
753	522	170
754	522	169
755	523	169
756	524	168
757	525	167
758	525	166
759	526	166
760	526	165
761	527	164
762	527	163
763	528	163
764	528	162
765	529	161
766	529	160
767	530	160
768	531	159
769	531	158
770	532	158
771	533	157
772	534	156
773	534	156
774	535	155
775	536	154
776	537	154
777	537	153
778	538	152
779	539	152
780	539	151
781	540	150
782	540	149
783	540	149
784	541	148
785	541	147
786	542	146
787	542	146
788	543	145
789	543	144
790	544	143
791	544	143
792	545	142
793	546	141
794	547	141
795	548	140
796	549	139
797	550	139
798	550	138
799	551	137
800	552	137
801	552	136
802	553	135
803	554	135
804	555	134
805	555	133
806	556	133
807	557	132
808	557	131
809	558	131
810	559	130
811	559	129
812	560	129
813	561	128
814	561	127
815	562	126
816	562	126
817	563	125
818	563	124
819	564	123
820	564	123
821	568	123
822	570	122
823	570	121
824	571	121
825	572	120
826	572	119
827	573	119
828	573	118
829	576	117
830	576	117
831	577	116
832	578	115
833	579	115
834	580	114
835	581	114
836	581	113
837	582	112
838	583	111
839	584	111
840	585	110
841	586	110
842	586	109
843	587	108
844	588	107
845	589	107
846	590	106
847	590	105
848	591	105
849	591	104
850	592	103
851	592	102
852	592	102
853	593	101
854	593	100
855	594	99
856	595	99
857	596	98
858	597	98
859	597	97
860	598	96
861	599	96
862	600	95
863	601	94
864	602	93
865	607	93
866	608	93
867	609	92
868	610	92
869	611	91
870	611	90
871	612	89
872	613	89
873	614	88
874	615	87
875	615	87
876	616	86
877	617	85
878	618	85
879	619	84
880	622	84
881	623	83
882	623	82
883	624	81
884	624	81
885	624	80
886	625	79
887	625	78
888	625	78
889	626	77
890	626	76
891	626	75
892	627	75
893	627	74
894	627	73
895	628	72
896	628	72
897	628	71
898	629	70
899	629	69
900	629	69
901	630	68
902	630	67
903	630	67
904	631	66
905	631	65
906	631	64
907	632	64
908	632	63
909	632	62
910	636	62
911	637	61
912	637	60
913	637	60
914	638	59
915	638	58
916	638	57
917	639	57
918	639	56
919	639	55
920	640	54
921	640	54
922	651	54
923	651	53
924	652	52
925	652	52
926	652	51
927	654	50
928	655	50
929	655	49
930	655	48
931	656	47
932	656	47
933	657	46
934	657	45
935	658	45
936	661	44
937	662	43
938	663	43
939	664	42
940	665	41
941	666	41
942	667	40
943	669	39
944	670	39
945	673	38
946	673	37
947	674	37
948	675	36
949	676	35
950	676	34
951	677	34
952	678	33
953	679	32
954	680	32
955	681	31
956	683	30
957	684	29
958	684	29
959	684	28
960	685	27
961	685	27
962	686	26
963	686	25
964	687	24
965	687	24
966	688	23
967	688	22
968	689	22
969	691	21
970	692	20
971	694	20
972	695	19
973	696	18
974	697	17
975	697	17
976	699	16
977	699	15
978	700	15
979	701	14
980	703	13
981	704	12
982	704	12
983	705	11
984	706	10
985	706	10
986	707	9
987	707	8
988	708	7
989	708	7
990	709	6
991	709	5
992	710	5
993	711	4
994	711	3
995	712	2
996	713	2
997	714	1
998	715	0
999	715	0
